line: cmpptgjc3qhcjxcbcqgqkxhrms -- first: 3, second: 3
line: sixnineseven1six1 -- first: 6, second: 1
line: zqqcnmnk4rtrmfxh -- first: 4, second: 4
line: 5fourfive4jjvvhdzfgtctxrzfour -- first: 5, second: 4
line: 63thfzthsixhfrpvmfive -- first: 6, second: 5
line: kzvsgnlfive144six4 -- first: 5, second: 4
line: eight5two4five35onej -- first: 8, second: 1
line: mnfbqk8seven6glnzmmsthree -- first: 8, second: 3
line: xnrhrkpfzvtvljbljltrbzsjpfivevzldrbbjcl622 -- first: 5, second: 2
line: 5sb -- first: 5, second: 5
line: fivetwo4 -- first: 5, second: 4
line: eighttwoone27 -- first: 8, second: 7
line: pcrlmgh4qsixeightz8dpfour -- first: 4, second: 4
line: cnvoneight9gmmthreedqvzqcgsxfnhjpmrtwothree -- first: 1, second: 3
line: 5713 -- first: 5, second: 3
line: jjzdfour77lkbjhznrseven -- first: 4, second: 7
line: bgqjjszhv9fiverfive6jcfour3 -- first: 9, second: 3
line: hzxznrhdnvnbsd4sixprlsvcthree -- first: 4, second: 3
line: tbmsxscxtlqfbl3sevenvlbsvzcn -- first: 3, second: 7
line: vndbbjkcqn5twofivexhm -- first: 5, second: 5
line: ggggbxfxd6eight5 -- first: 6, second: 5
line: bdbfcb5four9 -- first: 5, second: 9
line: 14threedbbfqlthreetwoz -- first: 1, second: 2
line: onefour9 -- first: 1, second: 9
line: three28seven -- first: 3, second: 7
line: 1vbnrfrklk46qzbthreetnine -- first: 1, second: 9
line: eight45onesix -- first: 8, second: 6
line: threepl81k -- first: 3, second: 1
line: sevenglpgthreethree93one7 -- first: 7, second: 7
line: 8one4seven1 -- first: 8, second: 1
line: djkhlmgct3nbftrrthreesixseven56 -- first: 3, second: 6
line: ninethreeonetwo49dh1 -- first: 9, second: 1
line: 8mssvsgtkskninesixdznsgthree -- first: 8, second: 3
line: 1sixeight -- first: 1, second: 8
line: 6npqbhmfmnzthree669 -- first: 6, second: 9
line: 9dgnbhnzsevenfd -- first: 9, second: 7
line: four5jljzpjgd9 -- first: 4, second: 9
line: pzcrgfhxzblkmczjstl12nxkgglgmznlgjgnszc -- first: 1, second: 2
line: 39twotwoxqsj14 -- first: 3, second: 4
line: 2rzvpfpgzxk3863eightoneighttbb -- first: 2, second: 8
line: 8seveneightfour1mgdkrqltcvshss -- first: 8, second: 1
line: eight6mfjdlkffttbnzdj7pqhdddfv -- first: 8, second: 7
line: sixc7c -- first: 6, second: 7
line: 2eightfivetwoshj6 -- first: 2, second: 6
line: twonjn4threekxdkzctspb2 -- first: 2, second: 2
line: foureight3122lmtdrpvlkq8 -- first: 4, second: 8
line: 58xdnine9csmvrnjdk -- first: 5, second: 9
line: znkn4jznzgclhzfnhcqfgsdkbmmg4nsx -- first: 4, second: 4
line: 736 -- first: 7, second: 6
line: two3cgb -- first: 2, second: 3
line: fplfcfs7four9cp8nine -- first: 7, second: 9
line: 83seven -- first: 8, second: 7
line: 716 -- first: 7, second: 6
line: eight64925eightffnlprnnfkpggkkl -- first: 8, second: 8
line: one3nkbmdkxneight -- first: 1, second: 8
line: sevensix9threesixmgdpeight -- first: 7, second: 8
line: 6six437phtmrnm -- first: 6, second: 7
line: 7ckfkqbkmkeight266five -- first: 7, second: 5
line: nine11sixsixeightwonpf -- first: 9, second: 2
line: fourdbhpksjtwo1 -- first: 4, second: 1
line: kdfrppmhgseven1seven4mhktztvfour1 -- first: 7, second: 1
line: sixddgtqm4gbrjvfive1onep -- first: 6, second: 1
line: prxsbcbs16npg7 -- first: 1, second: 7
line: rtxxfxl1s -- first: 1, second: 1
line: six22nineninevnfznsdqltg7 -- first: 6, second: 7
line: snvtwonesgxqpnmp79one5 -- first: 2, second: 5
line: lppcnndmsdms61 -- first: 6, second: 1
line: vtspflkxfive5332 -- first: 5, second: 2
line: 231three -- first: 2, second: 3
line: ninetbrsixm89 -- first: 9, second: 9
line: 8eight6bxtx2sixfive5kjtj -- first: 8, second: 5
line: 24zfjbcsevenbvnxhbfgpzteight -- first: 2, second: 8
line: four9754zpjjjgsddxvxmsfzzfour8 -- first: 4, second: 8
line: one2twopbggv -- first: 1, second: 2
line: 7zldhnmcptvtwo5seven73 -- first: 7, second: 3
line: sixgctgprqgzspb5bqlqxdrpdp2sevenr -- first: 6, second: 7
line: 49lxmrzvzzr3 -- first: 4, second: 3
line: feightwoglj4ctrzmvvfive7hb6 -- first: 8, second: 6
line: fkdtzf24onetwo -- first: 2, second: 2
line: 61ntkdflftmvmtvrgklnjhjtjsvfqjsjvsevenjrljdsix -- first: 6, second: 6
line: 9nineonenbmjvmsncggzcbbpc5klckzkvtn -- first: 9, second: 5
line: 3fivejmzpfdc8one -- first: 3, second: 1
line: zsskqhfhpnine684twofive -- first: 9, second: 5
line: 3bsix -- first: 3, second: 6
line: 39one68six -- first: 3, second: 6
line: 8djbfxf -- first: 8, second: 8
line: tmfhtlzqkjlvggckfkggng9eightthreesix9 -- first: 9, second: 9
line: 915onefour3 -- first: 9, second: 3
line: td7nineppxltprlsevenxftpsvcfourvqzpr -- first: 7, second: 4
line: 72k695two -- first: 7, second: 2
line: 873bpgkbmeight -- first: 8, second: 8
line: twoninexmrhxptfive31 -- first: 2, second: 1
line: tseightwoeightfourrhlsbsvmk5 -- first: 8, second: 5
line: 7xxnlgggcncfivefour7five4eight -- first: 7, second: 8
line: 4one2eightsixrlkl -- first: 4, second: 6
line: 746five6foureight -- first: 7, second: 8
line: ljjn7nineonepjqnsgzvvg79nine -- first: 7, second: 9
line: rtcjxtqzsevenfhmsnmmb35 -- first: 7, second: 5
line: sevenqjjpndspl1six -- first: 7, second: 6
line: threefourmnhhvdssbkqnsnphzb5b6btnjszj -- first: 3, second: 6
line: 2fiveeight -- first: 2, second: 8
line: sixeightone2mpkvkvxdnbhjqrsxsbmtltr1two -- first: 6, second: 2
line: 3fourfivenine929 -- first: 3, second: 9
line: 8sqgxpceightseveneightone2gvfmjqc -- first: 8, second: 2
line: eight8threesixllngjhzlcbmjbscsone -- first: 8, second: 1
line: mpb7onenine -- first: 7, second: 9
line: three76four -- first: 3, second: 4
line: 4rmh4ninebsixtwo -- first: 4, second: 2
line: threeknjdnnmcbnknpfs5xxhptlstpsqqjvm -- first: 3, second: 5
line: onexqnhxrkc3sixsix9four -- first: 1, second: 4
line: ztwoneseventhreesixfive159seven -- first: 2, second: 7
line: jteightwov9one8bzlqbrnhtjb31 -- first: 8, second: 1
line: jxdhxtcfzmfgqtqnine8one -- first: 9, second: 1
line: hcbtwoneseventnrkgs5dfsix -- first: 2, second: 6
line: 499zlfphzfxqjvsjzzqv -- first: 4, second: 9
line: 4fourtpbkxcvhdrm -- first: 4, second: 4
line: xtkt7 -- first: 7, second: 7
line: fsmjbcfteightrvvghfp1onefivenrnqjsixxnqrkjpz -- first: 8, second: 6
line: 4krqtjfntzhld -- first: 4, second: 4
line: kltzvrjbdseveneight63onepqztpqkhrceight -- first: 7, second: 8
line: ninellvllxfcqn8six49 -- first: 9, second: 9
line: 711 -- first: 7, second: 1
line: dmphpfsffghkmpxxrpone1eight -- first: 1, second: 8
line: 6seventhree4frdcfeight -- first: 6, second: 8
line: hfrkj2bzg2fivebprjpt -- first: 2, second: 5
line: 5fournine1tqxs22sixseven -- first: 5, second: 7
line: kvzpd6twofive1 -- first: 6, second: 1
line: s5toneeightthree -- first: 5, second: 3
line: twosevenfour8htggp9 -- first: 2, second: 9
line: zfourcs6onefour -- first: 4, second: 4
line: 9ppm5vmtcrvzfn -- first: 9, second: 5
line: rvtsqjztqvpfourthree7zspszmjrmjrxrgcldththree -- first: 4, second: 3
line: gcqbthree7vkthree85 -- first: 3, second: 5
line: twolsfive41 -- first: 2, second: 1
line: 9nine6five -- first: 9, second: 5
line: 6ftxkzfmr83six -- first: 6, second: 6
line: fourneightone1nine4tvkrxqlq -- first: 4, second: 4
line: four1jkskfoursncbzpfive -- first: 4, second: 5
line: 7fnffmtdllthree -- first: 7, second: 3
line: jdjbzhfctvq9five5seven -- first: 9, second: 7
line: rtrsmnv4eight3qkrhnv5xtcgdccm -- first: 4, second: 5
line: zzkdlvpxzjqsx8hfctgconeone23 -- first: 8, second: 3
line: nshsvxrbssmfour72 -- first: 4, second: 2
line: fivepkzgbqlvrjmrcnzq9sevenkqpjplg -- first: 5, second: 7
line: 37dds5 -- first: 3, second: 5
line: vcfour5 -- first: 4, second: 5
line: 52one -- first: 5, second: 1
line: five7threetvrxvdsrpq -- first: 5, second: 3
line: lmqseven476four -- first: 7, second: 4
line: 9bvkcsts4sfourfiveeightwocz -- first: 9, second: 2
line: 41slptg3three -- first: 4, second: 3
line: 5sixvtzgbhsqsl57eight -- first: 5, second: 8
line: jvslvrh4five7fivemdvphj -- first: 4, second: 5
line: 7five3rbpsbsfffstone4fivenine -- first: 7, second: 9
line: 2fourtmcjnczqtvcgs162x -- first: 2, second: 2
line: 7vnd5eightsjnfdfsxvxblhql3pckltds -- first: 7, second: 3
line: 8zmt3zr -- first: 8, second: 3
line: 13cbmlmkdlfljhthreeoneightv -- first: 1, second: 8
line: dzsfeight29five6oneseven -- first: 8, second: 7
line: lvdzxlhgmztdfive2rzsftzhgzgxqt4 -- first: 5, second: 4
line: jrznkqfjmvkhvmxdpdone6jzjntv5fivedfrtgbdvz -- first: 1, second: 5
line: 5hrnkgsnmnj -- first: 5, second: 5
line: 7oneklbccfmpqtwoeightfivetfqnqflgnjfoureight -- first: 7, second: 8
line: six8786 -- first: 6, second: 6
line: 3hmbvfdqxkknine2st -- first: 3, second: 2
line: qfgskxcxphfmlcvshseven4qkbhtgsznnsix -- first: 7, second: 6
line: 7mjnvsscjchtwo -- first: 7, second: 2
line: 2sixpzqfkjlqsjkjpstmzfivethfvmsvq7 -- first: 2, second: 7
line: qttgtwobxbzmndbmcjdp1rpqmrf -- first: 2, second: 1
line: 4ninefour -- first: 4, second: 4
line: 8vv -- first: 8, second: 8
line: 75nine6cnm9zmkqjbjpb1 -- first: 7, second: 1
line: six8hfnl -- first: 6, second: 8
line: eight2xxmzr -- first: 8, second: 2
line: 39two2seven1onethreefour -- first: 3, second: 4
line: 5zvt -- first: 5, second: 5
line: 27fournshsbhfsnz -- first: 2, second: 4
line: twovpglcchhcrg9zfive -- first: 2, second: 5
line: jxgj1seven -- first: 1, second: 7
line: nineone281mfshfzm4 -- first: 9, second: 4
line: rljbtcknczjn1nine -- first: 1, second: 9
line: mrxztmtsix32 -- first: 6, second: 2
line: seven95three9 -- first: 7, second: 9
line: btwonekzg6fivefoursixsix -- first: 2, second: 6
line: ninesgnclqpcrlmm8 -- first: 9, second: 8
line: fiveonethreedsbzxl7fjkzqcxq4 -- first: 5, second: 4
line: bzkr2twolcjbxjbzlx7seven -- first: 2, second: 7
line: 8zzcdftnz -- first: 8, second: 8
line: 4prpzmtwo -- first: 4, second: 2
line: cnzbcj95cqnjmzzbonevtcxllpzdt2ssbpmblcd1 -- first: 9, second: 1
line: 4vncs241fivefnfcqcnpp6six -- first: 4, second: 6
line: 34bmqvhnfqnine -- first: 3, second: 9
line: twocsdp46threethreeptskb -- first: 2, second: 3
line: bclh6ninengrgceight4 -- first: 6, second: 4
line: kpkf6cxrqjck9 -- first: 6, second: 9
line: three44five6nine3dbnrxq -- first: 3, second: 3
line: 2onesixrleight2rshfour -- first: 2, second: 4
line: eightvfflfour8gmldcggzlgmbcdnsqfourdvsksvmgh -- first: 8, second: 4
line: st79nine25htmnhzqzdbcfb -- first: 7, second: 5
line: xdvm14 -- first: 1, second: 4
line: eightfivethreefiveninemhdvnmnssmfmnhcc3fqmcjbhptwonebj -- first: 8, second: 1
line: 7gkpgeight -- first: 7, second: 8
line: threepdfkppttpdsltvhz97three1seven -- first: 3, second: 7
line: nine3ntwo -- first: 9, second: 2
line: three4seven2jtqqfnineqlzrcjtwo -- first: 3, second: 2
line: 48sixfhrzseven -- first: 4, second: 7
line: 1262 -- first: 1, second: 2
line: xgfxtb4ninecnsix6pplllvmb -- first: 4, second: 6
line: 1bfvc3xnmrsxqttthreecshtkllpbbfh7 -- first: 1, second: 7
line: 3four4qg76threeqq -- first: 3, second: 3
line: zkxsjqlqlpqzlczsix2glbgj5five -- first: 6, second: 5
line: onezv2sevenfklgjbflsjtcbpseven1 -- first: 1, second: 1
line: fivehht7rplnlrxrfkspsglmbzsone7one -- first: 5, second: 1
line: sixseven696zsixzjrgqhhzhpfour -- first: 6, second: 4
line: sixnine7rbmggnxjmv85cdxrgkksb -- first: 6, second: 5
line: 1fourfiventhreefive -- first: 1, second: 5
line: 5five5nineone -- first: 5, second: 1
line: threedgfkpdhrp7 -- first: 3, second: 7
line: 66seventhree -- first: 6, second: 3
line: 3twoonef9 -- first: 3, second: 9
line: 1683h3 -- first: 1, second: 3
line: onezddcone49sevencrcrkjsst -- first: 1, second: 7
line: 9324eight -- first: 9, second: 8
line: rfgqmrr8 -- first: 8, second: 8
line: sgmqht941tx9eightstlsdrqfbgccgtc -- first: 9, second: 8
line: threefive62fqfhfdh -- first: 3, second: 2
line: 8fbz -- first: 8, second: 8
line: oneeightb3cbrlrsbhbgjbcjjhjvs6 -- first: 1, second: 6
line: 7jzfndreightseven9 -- first: 7, second: 9
line: mkoneightfive1mpx1tsjskpl4 -- first: 1, second: 4
line: six7bdx37fiveninesbp -- first: 6, second: 9
line: nbsrgxh4sgggnzdxcfourpstvtvlsfiventsjsqnsix -- first: 4, second: 6
line: hbtwone5fouronercjmz3eight4 -- first: 2, second: 4
line: three5nqzpzdonethreethreev -- first: 3, second: 3
line: 89six4threefour -- first: 8, second: 4
line: jtrqvnhsxkkfour783nmtfjzzone -- first: 4, second: 1
line: 2threethreexdkgtfcxpjpzvbrjjfiveeight8njtcxg -- first: 2, second: 8
line: eight839lhftninekcvkpv2 -- first: 8, second: 2
line: dkcdnhdsbqcbpronegljjmbjtfour3 -- first: 1, second: 3
line: fmfhzfsevenpnbtjvvdtwo37eight5nine -- first: 7, second: 9
line: 34fkcpmc -- first: 3, second: 4
line: oneseven39 -- first: 1, second: 9
line: gz5ninebdxxcmhskvjm775 -- first: 5, second: 5
line: qzgeight5clhs2 -- first: 8, second: 2
line: 41seventhree5seven4seven1 -- first: 4, second: 1
line: rztlppfpfbsix87 -- first: 6, second: 7
line: 33sixdsqttqzgmpqvlxschqlvqttsixtbqm -- first: 3, second: 6
line: pzzngknine75vglbflqxt3plpqcrtrbmfpqsdrmh -- first: 9, second: 3
line: kvvtlx2three8vjqgvksrone -- first: 2, second: 1
line: ninethree1cnmrdzdkfb1threergjdcfmthreecktfrhgh -- first: 9, second: 3
line: 6ffdlktltvssevenp -- first: 6, second: 7
line: kpfmsevenczcnfive3five -- first: 7, second: 5
line: xfive39 -- first: 5, second: 9
line: lhmj4xtjglmlthreethree1zjlbdfnncteighteightwop -- first: 4, second: 2
line: 9seven985 -- first: 9, second: 5
line: eight6fourfive -- first: 8, second: 5
line: 55k -- first: 5, second: 5
line: 24twogpbggkpxnjdsxdlhb73mjqz -- first: 2, second: 3
line: njqtnjh8sfskrhtpmx -- first: 8, second: 8
line: sixffnkq1ltfstjk -- first: 6, second: 1
line: 8foursixqqlzgch -- first: 8, second: 6
line: zhbvngkkcx9onegbxdggmlph -- first: 9, second: 1
line: 3threerxjsn -- first: 3, second: 3
line: seven9qk -- first: 7, second: 9
line: seven4sixsxdtgppsix6seven -- first: 7, second: 7
line: onebbsqvthree5 -- first: 1, second: 5
line: 72eight8hnqqntwo -- first: 7, second: 2
line: 6six7threebmdqbsgkmhnfive -- first: 6, second: 5
line: 6oneseven -- first: 6, second: 7
line: lcjts7k5lvptsevenqdtbtqpmhlcjn -- first: 7, second: 7
line: twofoursix4fivesixthreecvlbthree -- first: 2, second: 3
line: two7dskdzgs4onethreethreeseven -- first: 2, second: 7
line: qchrtnineblmhspplmllhvrjbth7bkzql -- first: 9, second: 7
line: lkmdbdpgnr2threefjxnqztjhpsvfourl -- first: 2, second: 4
line: twofive9fiveninecnhlrm5tgkqgjjj -- first: 2, second: 5
line: fkkbkdnnfnzgxclppzbsq2llkzhntsevenbtmlft -- first: 2, second: 7
line: 6six73fivetwonjbbxkccdgmlbpjoneightnlj -- first: 6, second: 8
line: zdthreefv1 -- first: 3, second: 1
line: q4hnvkk3five4 -- first: 4, second: 4
line: nine9bprrfvsqldtwojrvgcvcj6nine -- first: 9, second: 9
line: six48bhptnsix5 -- first: 6, second: 5
line: one78rfnfive6pjxnbqz9 -- first: 1, second: 9
line: phzjrp8pjfq -- first: 8, second: 8
line: 2threethree -- first: 2, second: 3
line: mhnmzzseven1hrmxlbjpzjfjfsrdbqplgzrnsix9oneightpl -- first: 7, second: 8
line: 51jq1nfive48one -- first: 5, second: 1
line: sixfivethree2pfpgqtvqs87six -- first: 6, second: 6
line: seven48vmkcfbq8 -- first: 7, second: 8
line: ngfzcrghc5dzlqggnvt6sixjgkhzgbzx9 -- first: 5, second: 9
line: bthreerdpbpntf28 -- first: 3, second: 8
line: foursevenfive2 -- first: 4, second: 2
line: 56ctbkpvjrncfour -- first: 5, second: 4
line: pdzldtghgvmstfsevenlhnkxfive86seven7 -- first: 7, second: 7
line: 3fourccfjskml1nine2 -- first: 3, second: 2
line: twosevennine3dn -- first: 2, second: 3
line: 1crtzbsprbttlszppqcdrfjsz -- first: 1, second: 1
line: 8vjlsb36six -- first: 8, second: 6
line: five19beight7snmbk11 -- first: 5, second: 1
line: nineonejjjcqhpzblljdqfmxfhhlhfzc7four -- first: 9, second: 4
line: 3eightthreellninecfllmfmcgcxsxvbgjsl6seven -- first: 3, second: 7
line: 1mjxzjngbs7sixhvtlzsspninerrrvlppjggpkzsx7 -- first: 1, second: 7
line: 1twosixthreennrxkltvpzncbfvvfjsqfjone -- first: 1, second: 1
line: 5cb -- first: 5, second: 5
line: zfhhdq432sevenphqone -- first: 4, second: 1
line: 29eightqvz22 -- first: 2, second: 2
line: 2ninefour -- first: 2, second: 4
line: 16one8sixpmjbvqr1six -- first: 1, second: 6
line: jhdh2xcqxpn -- first: 2, second: 2
line: gqxftjxfiveninefour7sevenczone -- first: 5, second: 1
line: 1nhgqthree1 -- first: 1, second: 1
line: jrrsp1ldrpqcnq3tj5nine -- first: 1, second: 9
line: 4one9kmknhf4mrjbzx6onenine -- first: 4, second: 9
line: nvqsdcnbrhbzckbjbseven4 -- first: 7, second: 4
line: mvtkvrpp8sevenonerc -- first: 8, second: 1
line: onekmfg98ngqceightkvm -- first: 1, second: 8
